Uri;FallviltId;Kjonn;HendelsesDatoTid;UkjentTidspunkt;Latitude;Longitude;KommuneNummer;KommuneNavn;VillreinområdeNummer;VillreinområdeNavn;Arsak;TypeMotorkjøretøy;RegistrertDatoTid;EndretDatoTid;Dato;År;Kommune;Stedfesting;Art;Kjønn;Alder;Årsak;Utfall;Merkelappnummer;Fallvilt-ID;UTM33 øst;UTM33 nord;OppdatertDatoTid;vegsystemreferanse.kortform;vegkategori;fase;vegnr;strekning;delstrekning;arm;adskilte_løp;trafikantgruppe;retning;meter;veglenkesekvensid;relativPosisjon;veglenkesekvens.kortform;geometri.wkt;geometri.srid;kommune (treff);avstand_vegnettet_m;Vegobjekt_540_id;ÅDT, total;Vegobjekt_105_id;Fartsgrense;Vegobjekt_540_lengde;snow_depth;max_temperature;min_temperature;mean_temperature;total_precipitation;max_wind_speed;mean_wind_speed;max_wind_gust;precipitation_type;weather_station_id;Måned;monthly_snow_depth;monthly_mean_temperature;monthly_mean_wind_speed;HendelsesDatoTid;UkjentTidspunkt
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1306431;1306431;Ukjent;2025-01-05T17:30:00;False;63.02357;9.335634;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2025-01-05T19:32:12.869491Z;2025-01-05T19:32:12.890696Z;2025-01-05;2025;5061 Rindal;;Rådyr;Ukjent;Voksen;PåkjørtAvMotorkjøretøy;EttersøkAvsluttetIkkefunnet;;1306431;213591.88876100007;7000846.853608265;2026-04-30T07:26:42.095532;FV6166 S1D1 m7092;F;V;6166.0;1.0;1.0;False;Nei;K;MED;7091.548;249384.0;0.73493413;0.73493413@249384;POINT Z (213592.046 7000846.918 268.721);5973.0;5061.0;0.17;;;;;;;;;;;;;;;;1;57.9;1.1333333333333335;;2025-01-05T17:30:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1306811;1306811;Hann;2025-01-08T17:30:00;False;63.09474;9.293858;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2025-01-08T17:45:14.851091Z;2025-01-08T17:45:14.856726Z;2025-01-08;2025;5061 Rindal;;Elg;Hann;Kalv;PåkjørtAvMotorkjøretøy;AvlivetPåStedet;;1306811;212187.9570425832;7008940.280406017;2026-04-30T07:26:42.095532;FV65 S5D1 m7727;F;V;65.0;5.0;1.0;False;Nei;K;MED;7727.13;249583.0;0.79952452;0.79952452@249583;POINT Z (212189.017 7008946.175 183.194);5973.0;5061.0;5.989;;;;;;;;;;;;;;;;1;57.9;1.1333333333333335;;2025-01-08T17:30:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1323437;1323437;Hunn;2025-09-30T18:45:00;False;63.097195;9.430869;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2025-09-30T18:04:22.896603Z;2025-09-30T18:04:22.902991Z;2025-09-30;2025;5061 Rindal;;Rådyr;Hunn;Kalv;PåkjørtAvMotorkjøretøy;DødtPåStedet;;1323437;219109.31183151435;7008605.855230652;2026-04-30T07:26:42.095532;FV65 S5D1 m437;F;V;65.0;5.0;1.0;False;Nei;K;MED;437.235;249583.0;0.04516533;0.04516533@249583;POINT Z (219109.237 7008605.556 295.639);5973.0;5061.0;0.309;;;;;;;;;;;;;;;;9;;14.3;;2025-09-30T18:45:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1325533;1325533;Hann;2025-10-22T06:00:00;False;63.046272;9.156283;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2025-10-25T05:37:15.134453Z;2025-10-25T05:37:15.178498Z;2025-10-22;2025;5061 Rindal;;Rådyr;Hann;Kalv;PåkjørtAvMotorkjøretøy;DødtPåStedet;;1325533;204771.6594357133;7004181.223524977;2026-04-30T07:26:42.095532;FV65 S7D1 m689;F;V;65.0;7.0;1.0;False;Nei;K;MED;689.162;249584.0;0.91688869;0.91688869@249584;POINT Z (204771.992 7004179.275 72.948);5973.0;5061.0;1.977;;;;;;;10.8 degC;4.4 degC;5.9;0.1 mm;;;;;SN64870;10;;6.0;;2025-10-22T06:00:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1309089;1309089;Hunn;2025-02-02T18:00:00;False;63.057;9.190797;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2025-02-02T18:28:18.20192Z;2025-02-02T18:28:18.206966Z;2025-02-02;2025;5061 Rindal;;Rådyr;Hunn;Ungdyr;PåkjørtAvMotorkjøretøy;DødtPåStedet;;1309089;206619.8573999052;7005214.60604771;2026-04-30T07:26:42.095532;FV65 S6D1 m8178;F;V;65.0;6.0;1.0;False;Nei;K;MED;8178.042;249584.0;0.69706702;0.69706702@249584;POINT Z (206620.48 7005213.83 85.132);5973.0;5061.0;0.995;;;;;;68.9;-1.2 degC;-6.9 degC;-5.4;0.1 mm;;;;;SN64870;2;68.9;-5.4;;2025-02-02T18:00:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1329509;1329509;Ukjent;2025-12-08T00:00:00;True;63.047203;9.186568;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2025-12-09T10:13:04.378936Z;2025-12-09T10:13:04.405993Z;2025-12-08;2025;5061 Rindal;;Rådyr;Ukjent;Ukjent;PåkjørtAvMotorkjøretøy;ObservertAntattUskadd;;1329509;206307.94820081544;7004145.702488455;2026-04-30T07:26:42.095532;FV6164 S1D1 m893;F;V;6164.0;1.0;1.0;False;Nei;K;MED;892.634;249383.0;0.14107644;0.14107644@249383;POINT Z (206307.692 7004143.777 83.73);5973.0;5061.0;1.943;;;;;;53.7;3 degC;-2.8 degC;-0.5;0 mm;;;;;SN64870;12;53.7;-0.5;;2025-12-08T00:00:00;true
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1306390;1306390;Ukjent;2025-01-05T06:30:00;False;63.047203;9.186795;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2025-01-05T14:57:48.495794Z;2025-01-05T14:57:48.517992Z;2025-01-05;2025;5061 Rindal;;Rådyr;Ukjent;Voksen;PåkjørtAvMotorkjøretøy;ObservertAntattUskadd;;1306390;206319.3928616248;7004144.663854405;2026-04-30T07:26:42.095532;FV6164 S1D1 m904;F;V;6164.0;1.0;1.0;False;Nei;K;MED;904.113;249383.0;0.14288976;0.14288976@249383;POINT Z (206319.114 7004142.338 83.78);5973.0;5061.0;2.342;;;;;;75.0;-3.9 degC;-10.6 degC;-4.3;0 mm;;;;;SN64870;1;57.9;1.1333333333333335;;2025-01-05T06:30:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1323866;1323866;Ukjent;2025-10-06T08:00:00;False;63.13245;9.347861;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2025-10-06T07:35:57.742178Z;2025-10-06T07:35:57.749417Z;2025-10-06;2025;5061 Rindal;;Rådyr;Ukjent;Voksen;PåkjørtAvMotorkjøretøy;EttersøkAvsluttetIkkefunnet;;1323866;215276.3649979891;7012888.686204053;2026-04-30T07:26:42.095532;FV6170 S1D1 m4527;F;V;6170.0;1.0;1.0;False;Nei;K;MED;4527.198;249387.0;0.42800269;0.42800269@249387;POINT Z (215276.34 7012887.836 225.882);5973.0;5061.0;0.851;;;;;;;;;;;;;;;;10;;6.0;;2025-10-06T08:00:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1307906;1307906;Hunn;2025-01-16T17:30:00;False;63.093452;9.222641;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2025-01-16T21:15:40.52121Z;2025-01-16T21:15:40.531019Z;2025-01-16;2025;5061 Rindal;;Elg;Hunn;Ungdyr;PåkjørtAvMotorkjøretøy;ObservertAntattUskadd;;1307906;208590.10767590377;7009118.651227368;2026-04-30T07:26:42.095532;FV65 S6D1 m3295;F;V;65.0;6.0;1.0;False;Nei;K;MED;3294.623;249584.0;0.2064049;0.2064049@249584;POINT Z (208593.596 7009114.971 174.986);5973.0;5061.0;5.07;;;;;;44.0;7.5 degC;4.1 degC;4.9;2.1 mm;;;;;SN64870;1;57.9;1.1333333333333335;;2025-01-16T17:30:00;false
https://www.hjorteviltregisteret.no/api/v0/fallvilt/1326713;1326713;Hunn;2025-11-07T08:00:00;False;63.069614;9.217724;5061;Rindal;;;PåkjørtAvMotorkjøretøy;Personbil;2025-11-07T08:31:57.182448Z;2025-11-07T08:31:57.189308Z;2025-11-07;2025;5061 Rindal;;Elg;Hunn;Voksen;PåkjørtAvMotorkjøretøy;DødtPåStedet;;1326713;208103.5002601608;7006493.003020371;2026-04-30T07:26:42.095532;FV6164 S1D1 m4845;F;V;6164.0;1.0;1.0;False;Nei;K;MED;4845.477;249383.0;0.76960345;0.76960345@249383;POINT Z (208105.245 7006492.965 136.484);5973.0;5061.0;1.746;;;;;;6.2;4.5 degC;3 degC;3.8;0.7 mm;;;;;SN64870;11;6.2;3.8;;2025-11-07T08:00:00;false
