Vegobjekt_540_id,Art,"ÅDT, total_avg",Vegobjekt_540_lengde_avg,UTM_nord_int_avg,UTM33_øst_int_avg,antall_kollisjoner,frekvens,årsrisiko,samanlikning_yrke
1024045528.0,Rådyr,700,2612,7078263,245722,4,0.0005993712595487333,0.08990568893231,>2x høgare risiko enn høgrisikoyrke
1024045604.0,Rådyr,1440,5634,7083623,240149,7,0.0002363882256510672,0.03545823384766008,1-2x høgare risiko enn høyrisikoyrke
1024045835.0,Rådyr,550,3892,7084413,305862,4,0.0005119547841534635,0.07679321762301954,>2x høgare risiko enn høgrisikoyrke
1024046419.0,Rådyr,4160,6814,7044572,263187,6,5.7991310891263045e-05,0.008698696633689457,Kontoryrke
1024045783.0,Rådyr,866,17686,7189203,328710,7,0.00012521537626073952,0.01878230643911093,"Bønder, fiskarar mv."
1022805368.0,Rådyr,11800,1736,7070779,312513,4,5.3497735440858786e-05,0.008024660316128817,Kontoryrke
1024046011.0,Rådyr,2300,7350,7196543,330292,20,0.0003241320351845324,0.04861980527767986,>2x høgare risiko enn høgrisikoyrke
1024046009.0,Rådyr,550,6225,7079070,306235,4,0.00032008482247795667,0.0480127233716935,>2x høgare risiko enn høgrisikoyrke
1024046955.0,Rådyr,300,8196,7088340,305225,3,0.00033427599162972916,0.05014139874445937,>2x høgare risiko enn høgrisikoyrke
1022805904.0,Rådyr,8480,3885,7067113,308114,8,6.652888534511693e-05,0.00997933280176754,Kontoryrke
1024046089.0,Rådyr,1700,2610,7023779,271544,3,0.00018524178684227588,0.02778626802634138,1-2x høgare risiko enn høyrisikoyrke
1024045637.0,Rådyr,1000,10607,7105190,324717,10,0.0002582941479586368,0.03874412219379551,1-2x høgare risiko enn høyrisikoyrke
1024046660.0,Rådyr,499,4470,7099783,326827,3,0.0003684854309151538,0.05527281463727307,>2x høgare risiko enn høgrisikoyrke
1022805893.0,Rådyr,16500,947,7027422,263657,4,7.01347419896262e-05,0.010520211298443929,Kontoryrke
1024046721.0,Rådyr,700,4822,7192204,328645,5,0.0004058372381639599,0.060875585724593985,>2x høgare risiko enn høgrisikoyrke
