Vegobjekt_540_id,Vegnamn,Art,"ÅDT, total_avg",Vegobjekt_540_lengde_avg,UTM_nord_int_avg,UTM33_øst_int_avg,antall_kollisjoner,frekvens,årsrisiko,samanlikning_yrke
1026880341.0,FV65,Rådyr,1800,4155,7003777,203573,5,0.00018316125333582431,0.027474188000373646,1-2x høgare risiko enn høyrisikoyrke
1026879555.0,FV6164,Rådyr,1060,2371,7004173,206306,4,0.0004360433902417196,0.06540650853625794,>2x høgare risiko enn høgrisikoyrke
1026904629.0,EV6,Elg,5200,8065,6982710,251380,3,1.959840259953212e-05,0.002939760389929818,lågare risiko enn dei fleste yrke
1026904986.0,EV6,Rådyr,4600,13248,6957305,236070,18,8.092290959939923e-05,0.012138436439909884,Sals- og serviceyrke
1026880487.0,FV700,Rådyr,766,8393,6992754,234810,4,0.00017045947013517482,0.025568920520276223,1-2x høgare risiko enn høyrisikoyrke
1026904801.0,EV6,Rådyr,2160,32999,6932721,221856,4,1.5374910504567818e-05,0.002306236575685173,lågare risiko enn dei fleste yrke
1026904986.0,EV6,Elg,4600,13248,6958707,237926,9,4.0461454799699614e-05,0.006069218219954942,Høgskuleyrke
1026904155.0,EV6,Rådyr,5060,4610,6954066,231378,8,9.396057813473923e-05,0.014094086720210884,Sals- og serviceyrke
1026904155.0,EV6,Elg,5060,4610,6954002,231319,4,4.698028906736962e-05,0.007047043360105442,Kontoryrke
1026904485.0,EV6,Rådyr,3680,8567,6948856,225360,8,6.952172460039434e-05,0.01042825869005915,Kontoryrke
1026903889.0,EV6,Hjort,2400,5880,6939545,220858,3,5.824247507222067e-05,0.0087363712608331,Kontoryrke
1026880656.0,FV715,Rådyr,471,42706,7132389,292902,5,6.810317149400538e-05,0.010215475724100807,Kontoryrke
1026880794.0,FV6654,Rådyr,1600,5465,7034956,259748,10,0.00031332639837571593,0.04699895975635739,>2x høgare risiko enn høgrisikoyrke
1026879996.0,FV704,Rådyr,1200,2610,7023779,271544,3,0.0002624258646932242,0.039363879703983626,1-2x høgare risiko enn høyrisikoyrke
1026879686.0,FV707,Rådyr,2310,3619,7043889,259936,3,9.831682094132555e-05,0.014747523141198832,"Renhaldarar, hjelpearbeidarar mv."
1026880536.0,FV715,Rådyr,4160,6814,7044662,263485,6,5.7991310891263045e-05,0.008698696633689457,Kontoryrke
1026880041.0,FV707,Rådyr,2800,6380,7033354,260120,4,6.134630603218227e-05,0.00920194590482734,Kontoryrke
1026880432.0,FV707,Rådyr,2470,6122,7038250,258360,4,7.247310165361694e-05,0.010870965248042541,Kontoryrke
1026880159.0,FV715,Rådyr,5080,2228,7043480,267788,4,9.682516106381418e-05,0.014523774159572126,"Renhaldarar, hjelpearbeidarar mv."
1026880501.0,FV6594,Elg,825,8942,7020419,270525,3,0.00011141400245612168,0.01671210036841825,"Renhaldarar, hjelpearbeidarar mv."
1026880161.0,FV31,Elg,612,24096,6945329,328071,5,9.289252397399984e-05,0.013933878596099975,Sals- og serviceyrke
1026880161.0,FV31,Rådyr,612,24096,6945879,321616,6,0.0001114710287687998,0.01672065431531997,"Renhaldarar, hjelpearbeidarar mv."
1026880081.0,FV30,Rådyr,1310,17920,6962046,314443,4,4.66828998670471e-05,0.007002434980057065,Kontoryrke
1026879341.0,FV30,Rådyr,2650,7392,6939413,310095,3,4.1958558371068065e-05,0.00629378375566021,Høgskuleyrke
1026880135.0,FV705,Rådyr,227,9088,6953406,337058,4,0.0005312182065903355,0.07968273098855033,>2x høgare risiko enn høgrisikoyrke
1026880094.0,FV30,Rådyr,1320,30274,6986100,295702,9,6.17029470397024e-05,0.00925544205595536,Kontoryrke
1026879613.0,FV30,Hjort,2310,10163,6995884,265417,4,4.668025517224667e-05,0.007002038275837,Kontoryrke
1026880094.0,FV30,Elg,1320,30274,6987272,296134,5,3.4279415022056884e-05,0.005141912253308532,Høgskuleyrke
1026880383.0,FV766,Rådyr,435,9478,7155513,304126,11,0.0007309604165331418,0.10964406247997126,>5x høgare risiko enn høgrisikoyrke
1026880673.0,FV766,Rådyr,349,14238,7157759,298160,11,0.0006064924587652531,0.09097386881478797,>2x høgare risiko enn høgrisikoyrke
1026880273.0,FV17,Rådyr,2960,2858,7153915,348842,5,0.0001619284669985898,0.02428927004978847,1-2x høgare risiko enn høyrisikoyrke
1026879981.0,FV760,Rådyr,1300,11864,7153593,359329,3,5.3291003696974566e-05,0.007993650554546185,Kontoryrke
1026879812.0,FV7040,Rådyr,716,26246,7152221,342938,4,5.831643677753844e-05,0.008747465516630767,Kontoryrke
1026879981.0,FV760,Elg,1300,11864,7152600,359156,3,5.3291003696974566e-05,0.007993650554546185,Kontoryrke
1026880417.0,FV17,Rådyr,1200,8640,7165835,368793,3,7.927447995941146e-05,0.01189117199391172,Kontoryrke
1026880379.0,FV17,Elg,835,20271,7199805,375971,5,8.093110884630799e-05,0.012139666326946198,Sals- og serviceyrke
1026880277.0,FV17,Rådyr,1000,22933,7195981,378054,3,3.583996024153744e-05,0.005375994036230616,Høgskuleyrke
1026904800.0,EV6,Rådyr,2350,7382,7164770,382800,3,4.737906513365911e-05,0.007106859770048866,Kontoryrke
