Dato;År;Kommune;Stedfesting;Art;Kjønn;Alder;Årsak;Utfall;Merkelappnummer;Fallvilt-ID;UTM33 øst;UTM33 nord;vegsystemreferanse.kortform;vegkategori;fase;vegnr;strekning;delstrekning;arm;adskilte_løp;trafikantgruppe;retning;meter;veglenkesekvensid;relativPosisjon;veglenkesekvens.kortform;geometri.wkt;geometri.srid;kommune (treff);avstand_vegnettet_m;Vegobjekt_540_id;ÅDT, total;Vegobjekt_105_id;Fartsgrense;Vegobjekt_540_lengde;snow_depth;max_temperature;min_temperature;mean_temperature;total_precipitation;max_wind_speed;mean_wind_speed;max_wind_gust;precipitation_type;weather_station_id;Måned;monthly_snow_depth;monthly_mean_temperature;monthly_mean_wind_speed
2026-01-27;2026;5049 Flatanger;Sandmoen;Hjort;Ukjent;Kalv/årsunge;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1333074;311386,7176;7165788,936;FV6928 S3D1 m2051;F;V;6928.0;3.0;1.0;False;Nei;K;MED;2050.748;578370.0;0.01117073;0.01117073@578370;POINT Z (311387.19 7165789.753 16.258);5973.0;5049.0;0.943;1024045907.0;273.0;86973722.0;80.0;24711.85;2.0;;;;0 mm;;;;;SN75020;1;2.0;-3.9;9.45
2026-01-27;2026;5049 Flatanger;"Sandmo&#x2019;n";Hjort;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1332984;311297,4058;7165928,535;FV6928 S3D1 m2220;F;V;6928.0;3.0;1.0;False;Nei;K;MED;2219.831;578370.0;0.03644095;0.03644095@578370;POINT Z (311293.281 7165926.186 19.808);5973.0;5049.0;4.747;1024045907.0;273.0;86973722.0;80.0;24711.85;2.0;;;;0 mm;;;;;SN75020;1;2.0;-3.9;9.45
2026-01-26;2026;5057 Ørland;Skavdalen;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332908;245491,1852;7078615,477;FV6360 S1D1 m2894;F;V;6360.0;1.0;1.0;False;Nei;K;MED;2894.451;72442.0;0.6748472;0.6748472@72442;POINT Z (245488.162 7078613.18 17.192);5973.0;5057.0;3.796;1024045528.0;700.0;85311876.0;80.0;2612.095;0.0;-3.8 degC;-7.5 degC;-5.2;0 mm;9.2 m/s;6.4;11.8 m/s;;SN71550;1;1.2857142857142858;-1.9571428571428573;8.685714285714287
2026-01-26;2026;5057 Ørland;Korsgata, Oksvoll;Rådyr;Ukjent;Voksent dyr;Påkjørt av motorkjøretøy;Dødt på stedet;;1332973;238429,8412;7086320,645;FV721 S1D1 m8592;F;V;721.0;1.0;1.0;False;Nei;K;MED;8592.009;72389.0;0.89204982;0.89204982@72389;POINT Z (238418.155 7086318.187 36.92);5973.0;5057.0;11.942;1024045604.0;1440.0;85311497.0;60.0;5634.106;0.0;-3.8 degC;-7.5 degC;-5.2;0 mm;9.2 m/s;6.4;11.8 m/s;;SN71550;1;1.2857142857142858;-1.9571428571428573;8.685714285714287
2026-01-27;2026;5053 Inderøy;Brasethåmmeren.;Rådyr;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1333026;306521,8413;7084928,076;FV755 S3D1 m589;F;V;755.0;3.0;1.0;False;Nei;K;MED;588.785;578652.0;0.13887967;0.13887967@578652;POINT Z (306524.134 7084925.6 18.701);5973.0;5053.0;3.375;1024045835.0;550.0;86973645.0;80.0;3892.233;;;;;;;;;;;1;;-7.341666666666666;
2026-01-26;2026;5001 Trondheim;Trolla;Rådyr;Hunn;Ungdyr;Påkjørt av motorkjøretøy;Avlivet etter ettersøk;;1332901;266492,2829;7044344,047;FV715 S1D1 m3655;F;V;715.0;1.0;1.0;False;Nei;K;MED;3655.422;72852.0;0.77178742;0.77178742@72852;POINT Z (266493.08 7044345.462 28.704);5973.0;5001.0;1.624;1024046419.0;4160.0;775639223.0;50.0;6813.699;17.0;-9 degC;-14.2 degC;-11.6;0 mm;;;;;SN68125;1;17.0;-6.053333333333333;
2026-01-26;2026;5029 Skaun;Buvikåsen;Elg;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1333091;257595,8732;7027714,156;KV201 S1D1 m1003;K;V;201.0;1.0;1.0;False;Nei;K;MED;1002.866;44808.0;0.17138541;0.17138541@44808;POINT Z (257596.675 7027714.418 238.777);5973.0;5029.0;0.844;;;85289014.0;30.0;;;;;-13.6;;;;;;SN67153;1;;-7.025;3.05
2026-01-26;2026;5006 Steinkjer;4 bogavegen;Rådyr;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1333053;326584,9187;7103782,149;KV1800 S3D1 m3184;K;V;1800.0;3.0;1.0;False;Nei;K;MED;3183.553;553001.0;0.74208343;0.74208343@553001;POINT Z (326587.367 7103782.519 16.827);5973.0;5006.0;2.476;;;86960437.0;50.0;;;-6.4 degC;-15.5 degC;-12.3;0 mm;2.8 m/s;1.5;4.8 m/s;;SN71000;1;11.928571428571429;-7.045;1.5
2026-01-26;2026;5060 Nærøysund;lilleval;Rådyr;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1332894;329188,7205;7190065,074;FV768 S1D1 m3138;F;V;768.0;1.0;1.0;False;Nei;K;MED;3138.395;578194.0;0.36283772;0.36283772@578194;POINT Z (329187.822 7190067.649 10.383);5973.0;5060.0;2.727;1024045783.0;866.0;1021041136.0;60.0;17686.067;;;;;;;;;;;1;;-3.457142857142857;6.0
2026-01-27;2026;5037 Levanger;Laberget, skogn;Rådyr;Hunn;Kalv/årsunge;Påkjørt av motorkjøretøy;Dødt på stedet;;1333057;309580,2037;7069727,547;FV6818 S3D1 m6469;F;V;6818.0;3.0;1.0;False;Nei;K;MED;6468.896;578274.0;0.83128778;0.83128778@578274;POINT Z (309581.64 7069731.848 3.96);5973.0;5037.0;4.534;1024045650.0;1100.0;86973882.0;80.0;5812.133;4.0;-11.3 degC;-18.3 degC;-13.0;0 mm;;;;;SN69730;1;4.0;-8.3125;1.25
2026-01-25;2026;5006 Steinkjer;4- Dalsaunet;Elg;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1333044;334528,2486;7111886,183;FV6978 S1D1 m2924;F;V;6978.0;1.0;1.0;False;Nei;K;MED;2924.258;578405.0;0.56995833;0.56995833@578405;POINT Z (334528.214 7111886.146 30.718);5973.0;5006.0;0.05;1024046774.0;500.0;173071190.0;80.0;5130.996;4.0;;;;0 mm;;;;;SN70820;1;11.928571428571429;-7.045;1.5
2026-01-25;2026;5037 Levanger;Holsandlia, skogn;Rådyr;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332793;312555,9042;7070857,149;EV6 S84D1 m7816;E;V;6.0;84.0;1.0;False;Nei;K;MED;7816.051;578597.0;0.54087955;0.54087955@578597;POINT Z (312559.029 7070848.595 26.513);5973.0;5037.0;9.107;1022805368.0;11800.0;287666269.0;80.0;1735.755;4.0;-6.6 degC;-15.5 degC;-9.3;0 mm;2.4 m/s;1.0;;;SN69730;1;4.0;-8.3125;1.25
2026-01-27;2026;5021 Oppdal;Engan/ søndre innkjørsel;Hjort;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Dødt på stedet;100000538303.0;1332953;220853,5502;6939547,591;EV6 S60D1 m8483;E;V;6.0;60.0;1.0;False;Nei;K;MED;8483.394;72147.0;0.00947913;0.00947913@72147;POINT Z (220852.375 6939548.231 635.581);5973.0;5021.0;1.338;1022805650.0;2370.0;85311142.0;80.0;5879.678;;-10.4 degC;-15.7 degC;-12.0;0 mm;7.5 m/s;3.6;8.1 m/s;;SN63820;1;33.55;-10.91;6.375
2026-01-23;2026;5060 Nærøysund;Sandnesaunet;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332779;328827,2992;7196452,872;FV770 S6D1 m4304;F;V;770.0;6.0;1.0;False;Nei;K;MED;4303.74;578682.0;0.56068001;0.56068001@578682;POINT Z (328825.319 7196463.451 37.852);5973.0;5060.0;10.763;1024046011.0;2300.0;1015470503.0;80.0;7349.897;;;;;;;;;;;1;;-3.457142857142857;6.0
2026-01-26;2026;5045 Grong;760 vest for Grong kirke;Elg;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332950;369523;7151834;FV760 S2D1 m9470;F;V;760.0;2.0;1.0;False;Nei;K;MED;9470.259;578166.0;0.77849727;0.77849727@578166;POINT Z (369523.654 7151835.391 25.872);5973.0;5045.0;1.537;1024045936.0;2000.0;171850971.0;80.0;4333.994;10.0;-9.7 degC;-23.2 degC;-19.7;0 mm;1.7 m/s;0.7;3 m/s;;SN73550;1;29.0;-15.35;0.7
