Dato;År;Kommune;Stedfesting;Art;Kjønn;Alder;Årsak;Utfall;Merkelappnummer;Fallvilt-ID;UTM33 øst;UTM33 nord;vegsystemreferanse.kortform;vegkategori;fase;vegnr;strekning;delstrekning;arm;adskilte_løp;trafikantgruppe;retning;meter;veglenkesekvensid;relativPosisjon;veglenkesekvens.kortform;geometri.wkt;geometri.srid;kommune (treff);avstand_vegnettet_m;Vegobjekt_540_id;ÅDT, total;Vegobjekt_105_id;Fartsgrense;Vegobjekt_540_lengde
27.01.2026;2026;5037 Levanger;Laberget, skogn;Rådyr;Hunn;Kalv/årsunge;Påkjørt av motorkjøretøy;Dødt på stedet;;1333057;309580,2037;7069727,547;FV6818 S3D1 m6469;F;V;6818;3;1;False;Nei;K;MED;6468.896;578274;0.83128778;0.83128778@578274;POINT Z (309581.64 7069731.848 3.96);5973;5037;4.534;1024045650;1100;86973882;80;5812.133
27.01.2026;2026;5057 Ørland;Kottengsvatnet, Bjugn;Hjort;Ukjent;Ungdyr;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1333031;240688,8422;7082914,896;FV721 S1D1 m4373;F;V;721;1;1;False;Nei;K;MED;4373.102;72389;0.45389004;0.45389004@72389;POINT Z (240694.793 7082920.732 35.115);5973;5057;8.335;1024045604;1440;85311522;80;5634.106
27.01.2026;2026;5053 Inderøy;Brasethåmmeren.;Rådyr;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1333026;306521,8413;7084928,076;FV755 S3D1 m589;F;V;755;3;1;False;Nei;K;MED;588.785;578652;0.13887967;0.13887967@578652;POINT Z (306524.134 7084925.6 18.701);5973;5053;3.375;1024045835;550;86973645;80;3892.233
27.01.2026;2026;5049 Flatanger;Sandmoen;Hjort;Ukjent;Kalv/årsunge;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1333074;311386,7176;7165788,936;FV6928 S3D1 m2051;F;V;6928;3;1;False;Nei;K;MED;2050.748;578370;0.01117073;0.01117073@578370;POINT Z (311387.19 7165789.753 16.258);5973;5049;0.943;1024045907;273;86973722;80;24711.85
27.01.2026;2026;5049 Flatanger;"Sandmo&#x2019;n";Hjort;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Observert – antatt uskadd;;1332984;311297,4058;7165928,535;FV6928 S3D1 m2220;F;V;6928;3;1;False;Nei;K;MED;2219.831;578370;0.03644095;0.03644095@578370;POINT Z (311293.281 7165926.186 19.808);5973;5049;4.747;1024045907;273;86973722;80;24711.85
27.01.2026;2026;5021 Oppdal;Engan/ søndre innkjørsel;Hjort;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Dødt på stedet;100000538303;1332953;220853,5502;6939547,591;EV6 S60D1 m8483;E;V;6;60;1;False;Nei;K;MED;8483.394;72147;0.00947913;0.00947913@72147;POINT Z (220852.375 6939548.231 635.581);5973;5021;1.338;1022805650;2370;85311142;80;5879.678
26.01.2026;2026;5006 Steinkjer;4 bogavegen;Rådyr;Ukjent;Ukjent;Påkjørt av motorkjøretøy;Ettersøk avsluttet - ikke funnet;;1333053;326584,9187;7103782,149;KV1800 S3D1 m3184;K;V;1800;3;1;False;Nei;K;MED;3183.553;553001;0.74208343;0.74208343@553001;POINT Z (326587.367 7103782.519 16.827);5973;5006;2.476;;;86960437;50;
26.01.2026;2026;5045 Grong;760 vest for Grong kirke;Elg;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332950;369523;7151834;FV760 S2D1 m9470;F;V;760;2;1;False;Nei;K;MED;9470.259;578166;0.77849727;0.77849727@578166;POINT Z (369523.654 7151835.391 25.872);5973;5045;1.537;1024045936;2000;171850971;80;4333.994
26.01.2026;2026;5006 Steinkjer;4- Eggemarka ;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332936;327239,9604;7104363,098;FV6982 S1D1 m1053;F;V;6982;1;1;False;Nei;K;MED;1053.197;578707;0.11027874;0.11027874@578707;POINT Z (327241.062 7104358.201 26.721);5973;5006;5.019;1024045637;1000;339629881;60;10607.455
26.01.2026;2026;5057 Ørland;Skavdalen;Rådyr;Hunn;Voksent dyr;Påkjørt av motorkjøretøy;Avlivet på stedet;;1332908;245491,1852;7078615,477;FV6360 S1D1 m2894;F;V;6360;1;1;False;Nei;K;MED;2894.451;72442;0.6748472;0.6748472@72442;POINT Z (245488.162 7078613.18 17.192);5973;5057;3.796;1024045528;700;85311876;80;2612.095
