Vegobjekt_540_id,Art,"ÅDT, total_avg",Vegobjekt_540_lengde_avg,UTM_nord_int_avg,UTM33_øst_int_avg,antall_kollisjoner,frekvens
1024046631.0,Rådyr,700,17819,7145935,316086,5,0.00010982362435751807
1024045964.0,Rådyr,697,28148,7060297,274322,36,0.0005027236492043866
1024045835.0,Rådyr,550,3892,7084242,305642,3,0.0003839660881150977
1024046131.0,Rådyr,1500,4662,7052227,248463,17,0.0006660280632883373
1024046157.0,Rådyr,1700,8092,7059660,296889,6,0.00011949606121066239
1024046542.0,Hjort,2230,10163,6995939,265625,3,3.626616237036653e-05
1022805738.0,Hjort,1700,13680,7019849,178095,13,0.00015314945973582896
1024047170.0,Rådyr,2100,2529,7059189,302724,3,0.00015476055060708696
1022805428.0,Rådyr,2100,5896,7115016,335016,5,0.00011063699470978146
1024045805.0,Rådyr,600,9828,7035604,205065,6,0.0002787674020550733
1024046459.0,Rådyr,2200,2804,7095062,319503,6,0.0002664757515948574
1022805607.0,Rådyr,3000,6052,7041304,314148,3,4.526976251482585e-05
1022805567.0,Rådyr,2700,8321,7146720,370993,3,3.658382442544646e-05
1024046640.0,Rådyr,1800,6784,6998593,232704,10,0.0002243617357341834
1024045834.0,Hjort,2300,7883,7063707,202161,5,7.555405488412765e-05
1022805754.0,Rådyr,4400,13248,6957040,235446,21,9.870142761744906e-05
1024045823.0,Rådyr,1000,920,7068705,284028,3,0.0008933889219773674
1024045635.0,Hjort,500,60514,7056152,198368,10,9.054850207876723e-05
1024046144.0,Rådyr,700,3478,6986437,234925,3,0.0003375987054214976
1024046670.0,Rådyr,355,18427,7074451,252207,8,0.00033505348045126805
1022805551.0,Rådyr,8400,5216,7063637,306221,3,1.8759079394426903e-05
1024045655.0,Rådyr,1580,4049,7056268,248255,12,0.0005139057984119711
1024046011.0,Rådyr,2300,7350,7196539,330304,19,0.0003079254334253058
1024046755.0,Rådyr,2190,2792,7061366,251395,4,0.00017922871788915887
1024046011.0,Elg,2300,7350,7196702,331799,3,4.861980527767986e-05
1022805624.0,Elg,9600,7748,7056763,301897,3,1.1050134016025346e-05
1024045666.0,Rådyr,2160,6340,7054132,260439,7,0.00014004324535416536
1024046005.0,Hjort,700,16632,7010224,308584,3,7.05969394814796e-05
1024045639.0,Rådyr,770,24849,7204855,354190,7,0.00010023180107475553
1024046282.0,Elg,1330,8438,7199268,341606,3,7.32381268606909e-05
1024045703.0,Elg,418,55635,7150443,409916,6,7.068609853433612e-05
1024046117.0,Rådyr,1600,6830,7086395,309131,4,0.00010028279748891875
1024045906.0,Rådyr,400,16391,7083438,237023,9,0.00037608343369189407
1024046287.0,Rådyr,700,1939,7058157,298047,3,0.000605553531436807
1024046468.0,Rådyr,411,27522,7180048,332088,7,0.00016954436620383694
1024046086.0,Rådyr,2960,2858,7153932,348900,7,0.0002266998537980257
1022805677.0,Rådyr,3590,8567,6949350,225556,9,8.017268519376952e-05
1024047173.0,Rådyr,2350,1726,7155167,330969,3,0.000202637461655082
1022805676.0,Elg,1820,11103,7171010,387194,3,4.067397922446354e-05
1022805870.0,Elg,2500,7382,7164406,382533,6,8.907264245127912e-05
1024045598.0,Elg,2600,2200,7157560,330535,3,0.00014369192451384232
1022805916.0,Rådyr,1660,9285,7021996,192469,8,0.0001422024655596738
1024045820.0,Rådyr,550,7275,7078431,308340,6,0.0004108305195722227
1024046063.0,Rådyr,2300,4075,7021297,303402,5,0.0001461576968470131
1022805828.0,Hjort,3400,5232,7040628,311759,4,6.160564011956422e-05
1022805435.0,Elg,2410,12050,7140946,371450,4,3.773662336939461e-05
1024045981.0,Rådyr,766,8393,6992980,234839,5,0.00021307433766896852
1022805621.0,Rådyr,4980,4610,6954228,231548,3,3.5801244379652146e-05
1024046392.0,Rådyr,4130,3702,7078932,239225,15,0.0002687892704483991
1024046464.0,Elg,1100,22933,7185346,374621,3,3.258178203776131e-05
1024045598.0,Rådyr,2600,2200,7156230,330738,4,0.0001915892326851231
1024046392.0,Elg,4130,3702,7079168,239631,3,5.375785408967982e-05
1024046686.0,Rådyr,500,4230,7025315,250146,4,0.000518151494543217
1024045683.0,Rådyr,435,9478,7156441,303453,12,0.0007974113634907001
1022805388.0,Rådyr,2600,31163,7122488,352494,14,4.733937976688534e-05
1024046090.0,Rådyr,600,6554,7096056,316118,5,0.0003483529177343684
1024046693.0,Rådyr,718,9919,7102714,270829,6,0.00023081607489163001
1024045591.0,Rådyr,927,3323,7065752,256256,3,0.00026681996007012616
1024045881.0,Rådyr,1200,11864,7153593,359329,3,5.773192067172245e-05
1024045668.0,Rådyr,2100,5019,7091795,318732,3,7.798155658205278e-05
1024046316.0,Rådyr,1900,2416,7033420,265404,3,0.00017905145700138943
1024045527.0,Rådyr,1970,8511,7033478,243108,4,6.536124412056205e-05
1024046721.0,Rådyr,700,4822,7192240,328312,4,0.0003246697905311679
1024046396.0,Rådyr,1380,12040,6979648,306289,6,9.893565027434856e-05
1024046741.0,Rådyr,621,4229,7024995,272718,5,0.000521612336907927
1024045637.0,Rådyr,1000,10607,7105227,324727,9,0.0002324647331627731
1024046742.0,Rådyr,649,3554,7075975,242043,4,0.00047512185361094214
1024045886.0,Rådyr,1300,6690,7051158,254743,6,0.00018901179906155642
1024045960.0,Rådyr,500,2354,7062042,293215,4,0.0009310878597781683
1024045895.0,Hjort,1490,19621,7043918,246661,9,8.434167831608765e-05
1022805904.0,Rådyr,8480,3885,7067000,307929,6,4.98966640088377e-05
1024046396.0,Elg,1380,12040,6976709,307311,3,4.946782513717428e-05
1022805470.0,Rådyr,7070,4799,7043464,300184,10,8.07489663657905e-05
1024045877.0,Rådyr,1800,5465,7034613,260385,12,0.000334214824934097
1022805388.0,Elg,2600,31163,7121617,350450,9,3.0432458421569147e-05
1024045831.0,Elg,612,24096,6945301,330939,4,7.431401917919987e-05
1022805706.0,Hjort,2450,21968,7022762,201690,10,5.0903838373390246e-05
1024045530.0,Rådyr,1300,30272,6986471,294018,6,4.177090828890765e-05
1024046114.0,Rådyr,735,13592,7105190,314952,10,0.000274243555372434
1024046188.0,Rådyr,1000,2156,7061534,253302,5,0.0006353724553333163
1024045652.0,Rådyr,349,14238,7157803,298265,17,0.0009373065271826639
1024046005.0,Rådyr,700,16632,7010099,308107,3,7.05969394814796e-05
1024045895.0,Rådyr,1490,19621,7047760,245124,8,7.497038072541125e-05
1024046401.0,Rådyr,2800,2723,7112625,322659,5,0.000179668303564691
1024046982.0,Rådyr,5440,3137,7024576,237765,3,4.816315983207882e-05
1024046048.0,Rådyr,2400,6122,7038157,258477,3,5.5940175338885585e-05
1024046726.0,Rådyr,920,12989,7156830,325168,9,0.00020634127076234524
1024045551.0,Elg,877,20271,7201084,373516,5,7.705527467122824e-05
1024045881.0,Elg,1200,11864,7152910,358762,3,5.773192067172245e-05
1024046452.0,Rådyr,1100,6085,7109085,337581,6,0.00024558685537287757
